sourceTaxonId	sourceTaxonName	interactionTypeName	ParentOTT	referenceCitation
1000000000	Kinetocodium sp.	parasiteOf	3681492	weinstein2016
1000000001	Perigonella sp.	parasiteOf	3681903	weinstein2016
1000000002	Cunina sp.	parasiteOf	5506702	weinstein2016
1000000003	Pegantha sp.	parasiteOf	3681076	weinstein2016
1000000004	Peachia sp.	parasiteOf	928745	weinstein2016
1000000005	Nudiclava spp.	parasiteOf	3681891	weinstein2016
1000000011	Nymphonella sp.	parasiteOf	972138	weinstein2016
1000000012	Ophiomegistus spp.	parasiteOf	3520924	weinstein2016
1000000014	Riccardoella spp.	parasiteOf	3539093	weinstein2016
1000000027	Crotalomorpha sp.	parasiteOf	4702338	weinstein2016
1000000030	Histiostoma murchiei	parasiteOf	113491	weinstein2016
1000000033	Zanclopus sp	parasiteOf	2949403	weinstein2016
1000000035	Echinophilus spp.	parasiteOf	5755707	weinstein2016
1000000036	Echinositus spp.	parasiteOf	2962815	weinstein2016
1000000037	Brachinus spp.	parasiteOf	237824	weinstein2016
1000000038	Lebistina spp.	parasiteOf	4659330	weinstein2016
1000000043	Orthotrichia spp.	parasiteOf	856193	weinstein2016
1000000046	Chalcoela spp.	parasiteOf	777444	weinstein2016
1000000048	Zenodochium coccivorella	parasiteOf	629997	weinstein2016
1000000049	Endopsylla sp.	parasiteOf	4486226	weinstein2016
1000000051	Oidematops sp.	parasiteOf	4397223	weinstein2016
1000000052	Tetanura spp.	parasiteOf	572027	weinstein2016
1000000053	Euthycera sp.	parasiteOf	136555	weinstein2016
1000000054	Sepedon spp.	parasiteOf	728370	weinstein2016
1000000057	Hyperechia spp.	parasiteOf	4444930	weinstein2016
1000000058	Mallophaga sp.	parasiteOf	779649	weinstein2016
1000000059	Calliphora spp	parasiteOf	1011001	weinstein2016
1000000060	Cochliomyia sp.	parasiteOf	578163	weinstein2016
1000000061	Melanomya sp.	parasiteOf	4390291	weinstein2016
1000000062	Melinda sp.	parasiteOf	522402	weinstein2016
1000000064	Trissocladius equitans	parasiteOf	4474324	weinstein2016
1000000065	Batrachomyia spp.	parasiteOf	4413181	weinstein2016
1000000066	Philornis spp.	parasiteOf	842738	weinstein2016
1000000068	Odinia spp.	parasiteOf	195843	weinstein2016
1000000071	Wohlfahrtia sp.	parasiteOf	316407	weinstein2016
1000000074	Discoplana spp.	parasiteOf	5132025	weinstein2016
1000000075	Acholades sp.	parasiteOf	3665196	weinstein2016
1000000077	Paravortex spp.	parasiteOf	3665417	weinstein2016
1000000078	Notentera sp.	parasiteOf	399458	weinstein2016
1000000079	Seison annulatus	parasiteOf	779397	weinstein2016
1000000080	Proales sp.	parasiteOf	412244	weinstein2016
1000000081	Albertia spp.	parasiteOf	5154347	weinstein2016
1000000082	Balatro spp.	parasiteOf	2941707	weinstein2016
1000000083	Phylliroe spp.	parasiteOf	2876254	weinstein2016
1000000086	Ophiuricola cynipis	parasiteOf	4979125	weinstein2016
1000000087	Haplosyllis spp.	parasiteOf	889596	weinstein2016
1000000089	Spinther spp.	parasiteOf	4988054	weinstein2016
